pollster,numeric_grade,pollscore,methodology,transparency_score,start_date,end_date,candidate_name,pct
Gallup,2.9,3.7,In-person,6,02/14/2028,12/18/2028,Donald Trump,91.8
Pew Research,2.4,0.5,In-person,4,02/21/2028,12/25/2028,Elizabeth Warren,4.8
Gallup,1.8,2.1,Mixed-mode,2,02/28/2028,01/01/2029,Kamala Harris,87.1
SurveyMonkey,2.5,1.4,Mixed-mode,2,03/06/2028,01/08/2029,Pete Buttigieg,46.8
Pew Research,1.4,1.5,Online Panel,3,03/13/2028,01/15/2029,Elizabeth Warren,96.8
Pew Research,2.2,4.5,In-person,3,03/20/2028,01/22/2029,Kamala Harris,28.8
SurveyMonkey,1.4,0.2,Online Panel,7,03/27/2028,01/29/2029,Bernie Sanders,71.9
YouGov,1.3,3.4,Telephone,2,04/03/2028,02/05/2029,Bernie Sanders,38.9
Ipsos,1.6,-0.5,Mixed-mode,9,04/10/2028,02/12/2029,Pete Buttigieg,69.9
SurveyMonkey,1.1,3,Mixed-mode,3,04/17/2028,02/19/2029,Gavin Newsom,90.6
Pew Research,2.5,3.3,Online Panel,2,04/24/2028,02/26/2029,Gavin Newsom,13.3
Pew Research,1.5,-1.2,Online Panel,9,05/01/2028,03/05/2029,Gavin Newsom,30.7
Ipsos,1.8,1.2,Online Panel,1,05/08/2028,03/12/2029,Bernie Sanders,33.7
Ipsos,3,1.4,Online Panel,2,05/15/2028,03/19/2029,Elizabeth Warren,47.9
Pew Research,1.7,3.2,In-person,7,05/22/2028,03/26/2029,Donald Trump,83.3
YouGov,2.4,1.5,In-person,1,05/29/2028,04/02/2029,Pete Buttigieg,80.9
Ipsos,1.2,4.6,In-person,2,06/05/2028,04/09/2029,Pete Buttigieg,24.9
Ipsos,2.9,5,Mixed-mode,3,06/12/2028,04/16/2029,Gavin Newsom,45.3
Gallup,1.5,0.9,Online Panel,6,06/19/2028,04/23/2029,Donald Trump,39
SurveyMonkey,1.6,3.7,In-person,5,06/26/2028,04/30/2029,Elizabeth Warren,27.5
Gallup,2.3,1.2,In-person,9,07/03/2028,05/07/2029,Kamala Harris,25
Ipsos,1.1,3.3,Mixed-mode,5,07/10/2028,05/14/2029,Kamala Harris,23.6
Gallup,1.4,-1.7,In-person,5,07/17/2028,05/21/2029,Bernie Sanders,11.7
Ipsos,1.9,0.9,Mixed-mode,6,07/24/2028,05/28/2029,Gavin Newsom,84.1
Gallup,2.1,2.5,Telephone,0,07/31/2028,06/04/2029,Donald Trump,76.1
Ipsos,2,-1.9,Telephone,0,08/07/2028,06/11/2029,Kamala Harris,8
Pew Research,1.3,2.2,Online Panel,9,08/14/2028,06/18/2029,Donald Trump,46.3
YouGov,2.6,0.9,Online Panel,0,08/21/2028,06/25/2029,Pete Buttigieg,30.9
SurveyMonkey,2.5,-2,Telephone,2,08/28/2028,07/02/2029,Donald Trump,19.9
YouGov,1.5,-1.5,Online Panel,7,09/04/2028,07/09/2029,Donald Trump,94.7
Pew Research,1.6,2.3,Online Panel,0,09/11/2028,07/16/2029,Elizabeth Warren,68.3
YouGov,2.4,-0.7,Online Panel,3,09/18/2028,07/23/2029,Bernie Sanders,94.8
Ipsos,1.6,2,Online Panel,5,09/25/2028,07/30/2029,Pete Buttigieg,92.9
YouGov,2.1,2.1,Online Panel,2,10/02/2028,08/06/2029,Pete Buttigieg,56.2
Pew Research,1.3,4.4,Online Panel,3,10/09/2028,08/13/2029,Bernie Sanders,38.8
Pew Research,1.4,3,In-person,5,10/16/2028,08/20/2029,Bernie Sanders,83.8
Ipsos,1.7,-1.7,Telephone,9,10/23/2028,08/27/2029,Donald Trump,52
Ipsos,1.5,3.4,Mixed-mode,4,10/30/2028,09/03/2029,Elizabeth Warren,16.9
YouGov,1.4,0.4,Mixed-mode,8,11/06/2028,09/10/2029,Elizabeth Warren,75.4
YouGov,2.1,0.5,Mixed-mode,3,11/13/2028,09/17/2029,Pete Buttigieg,52.6
Pew Research,2.1,0.7,Telephone,5,11/20/2028,09/24/2029,Elizabeth Warren,81.6
Gallup,1.2,-0.4,Online Panel,1,11/27/2028,10/01/2029,Elizabeth Warren,85.4
Gallup,2.7,2.4,Online Panel,4,12/04/2028,10/08/2029,Elizabeth Warren,42.5
Ipsos,2.1,0.1,Telephone,1,12/11/2028,10/15/2029,Elizabeth Warren,37.9
SurveyMonkey,2.6,0.6,In-person,0,12/18/2028,10/22/2029,Pete Buttigieg,65.3
SurveyMonkey,3,1.4,In-person,2,12/25/2028,10/29/2029,Pete Buttigieg,43.2
YouGov,2.7,3.2,Mixed-mode,1,01/01/2029,11/05/2029,Donald Trump,71.8
YouGov,2.5,2.2,In-person,5,01/08/2029,11/12/2029,Gavin Newsom,40.3
Pew Research,1.9,2,Telephone,2,01/15/2029,11/19/2029,Gavin Newsom,63.3
YouGov,3,0.8,In-person,0,01/22/2029,11/26/2029,Pete Buttigieg,33.7
Ipsos,2.1,4.3,Telephone,9,01/29/2029,12/03/2029,Bernie Sanders,58.5
YouGov,1.7,-1,Online Panel,8,02/05/2029,12/10/2029,Donald Trump,79.6
YouGov,1.2,-0.2,Online Panel,4,02/12/2029,12/17/2029,Pete Buttigieg,76.9
Ipsos,1.7,0.7,Mixed-mode,8,02/19/2029,12/24/2029,Elizabeth Warren,30.8
YouGov,1.3,3.5,Telephone,3,02/26/2029,12/31/2029,Elizabeth Warren,74.1
Pew Research,2.5,4.7,In-person,1,03/05/2029,01/07/2030,Gavin Newsom,81.5
Ipsos,2.8,-0.8,Telephone,3,03/12/2029,01/14/2030,Pete Buttigieg,11.7
Pew Research,2,1.5,In-person,6,03/19/2029,01/21/2030,Pete Buttigieg,79.8
Ipsos,1.6,4.3,Telephone,9,03/26/2029,01/28/2030,Gavin Newsom,59.3
YouGov,2.6,4.5,In-person,3,04/02/2029,02/04/2030,Pete Buttigieg,34.2
SurveyMonkey,1.8,-1.2,In-person,7,04/09/2029,02/11/2030,Elizabeth Warren,1.2
Ipsos,2.7,-0.1,Online Panel,4,04/16/2029,02/18/2030,Elizabeth Warren,0.9
Ipsos,2.6,-1,Online Panel,7,04/23/2029,02/25/2030,Kamala Harris,14.8
Gallup,2.6,4.2,Online Panel,9,04/30/2029,03/04/2030,Bernie Sanders,73.7
Gallup,2,2.7,Online Panel,1,05/07/2029,03/11/2030,Donald Trump,44.8
YouGov,1.1,-0.1,Telephone,1,05/14/2029,03/18/2030,Kamala Harris,61.1
Ipsos,1.2,3.5,In-person,6,05/21/2029,03/25/2030,Pete Buttigieg,68.8
Ipsos,1.8,1.2,In-person,9,05/28/2029,04/01/2030,Gavin Newsom,38.4
Pew Research,2.6,1.7,Mixed-mode,3,06/04/2029,04/08/2030,Pete Buttigieg,4.4
Ipsos,1,2.4,Telephone,4,06/11/2029,04/15/2030,Elizabeth Warren,47.2
YouGov,2.2,-1.9,Mixed-mode,9,06/18/2029,04/22/2030,Elizabeth Warren,29.5
Pew Research,2.2,4,Telephone,8,06/25/2029,04/29/2030,Kamala Harris,67.3
